"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEPREFIX";
"C1";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"C";
"C2";"0.01uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"C";
"C3";"0.01uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"C";
"C4";"0.01uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"C";
"C5";"0.01uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"C";
"C6";"0.01uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"C";
"CON1";"422_A";"F15VP";"F15VP";"SUB-D";"";"";"unknown";"unknown";"";
"CON2";"422_B";"F15VP";"F15VP";"SUB-D";"";"";"unknown";"unknown";"";
"JP1";"TO_HOST";"PINHD-2X17";"2X17";"PIN HEADER";"";"";"";"";"";
"LED1";"RTSA";"LED3MM";"LED3MM";"LED";"";"";"";"";"";
"LED2";"CTSA";"LED3MM";"LED3MM";"LED";"";"";"";"";"";
"LED3";"RTSB";"LED3MM";"LED3MM";"LED";"";"";"";"";"";
"LED4";"CTSB";"LED3MM";"LED3MM";"LED";"";"";"";"";"";
"R1";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R2";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R3";"100";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R4";"100";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R5";"100";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R6";"100";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R7";"100";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R8";"100";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R9";"100";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R10";"100";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R11";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R12";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R13";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R14";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R15";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"R16";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"R";
"S1";"BOARD #";"DP08";"DP-08";"DIL/CODE SWITCH";"";"DP08";"9471626";"73J0035";"";
"U1";"Z8530";"Z8530PDIP40";"DIL40";"Zilog SCC Serial Controller, dual port Synchronous/Asynchronous controller. Data sheet and User manual";"";"";"";"";"";
"U2";"26LS32A";"AM26LS32APDIP16";"DIP16";"Texas Instruments Quadruple RS-422/423 Differential Line Receivers Data sheet";"";"";"";"";"";
"U3";"26LS32A";"AM26LS32APDIP16";"DIP16";"Texas Instruments Quadruple RS-422/423 Differential Line Receivers Data sheet";"";"";"";"";"";
"U4";"26LS31";"AM26L31";"DIP16";"Texas Instruments RS-422/423 AM26LS31x Quadruple Differential Line Driver Data sheet";"";"";"";"";"";
"U5";"26LS31";"AM26L31";"DIP16";"Texas Instruments RS-422/423 AM26LS31x Quadruple Differential Line Driver Data sheet";"";"";"";"";"";
